corruption,severity,label,groupA,groupB
clean,0,clean,0.5356186696394974,0.5472162680103527
blur,1,σ=1,0.5357193697713294,0.45397279544404334
blur,2,σ=2,0.5047984693133338,0.39245737503484807
blur,3,σ=3,0.49266875032353225,0.3668938471986315
blur,4,σ=5,0.4773844183622754,0.3583055810440688
blur,5,σ=8,0.4019183654620288,0.3411627743619857
noise,1,std=5,0.4606895860145611,0.5446792057860034
noise,2,std=15,0.29947534027754585,0.2888345030441244
noise,3,std=25,0.1844018655097653,0.2028869312135113
noise,4,std=40,0.07395448688155017,0.11328110118689569
noise,5,std=60,0.01536083388530599,0.060107123997031574
darkness,1,×0.80,0.5547783083133259,0.5512760359174963
darkness,2,×0.60,0.5673542495960537,0.5517754370956175
darkness,3,×0.40,0.5589771016998241,0.5464689699230243
darkness,4,×0.25,0.5030411666700351,0.5317350340359661
darkness,5,×0.10,0.395663321391967,0.14000823836338605
